,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,bonfim,3.0833,-59.95,92.62,38,86,6.02,BR,1675362476
134,beloha,-25.1667,45.05,72.86,78,38,16.13,MG,1675362476
135,cidreira,-30.1811,-50.2056,80.67,72,12,13.13,BR,1675362477
136,uruacu,-14.5247,-49.1408,82.98,65,51,4.54,BR,1675362479
137,qaanaaq,77.484,-69.3632,-2.85,54,1,10.22,GL,1675362479
138,jiuquan,39.7432,98.5174,22.3,50,36,3.29,CN,1675362480
139,kishi,9.0833,3.85,91.94,24,13,4.72,NG,1675362481
140,osmena,10.5208,119.9258,79.77,85,98,18.39,PH,1675362481
141,ust-tsilma,65.441,52.1498,2.41,100,83,3.04,RU,1675362482
142,tual,-5.6667,132.75,83.08,79,61,14.58,ID,1675362483
143,meulaboh,4.1363,96.1285,77.79,84,98,1.92,ID,1675362484
144,lasa,46.6166,10.7002,38.28,96,54,8.16,IT,1675362484
145,huarmey,-10.0681,-78.1522,76.96,71,46,9.31,PE,1675362485
146,eregli,37.5133,34.0467,21.61,62,7,6.55,TR,1675362486
147,nemuro,43.3236,145.575,15.35,73,25,18.99,JP,1675362486
148,kandrian,-6.2167,149.55,78.08,88,95,9.57,PG,1675362487
149,hilo,19.7297,-155.09,79.29,78,0,5.75,US,1675362487
150,burnie,-41.0667,145.9167,46.58,87,52,4.47,AU,1675362488
151,chokurdakh,70.6333,147.9167,-13.22,99,100,5.26,RU,1675362488
152,tiksi,71.6872,128.8694,-20.45,98,99,7.61,RU,1675362489
153,leningradskiy,69.3833,178.4167,-13.34,99,99,7.54,RU,1675362489
154,marzuq,14.4,46.4667,66.31,61,6,6.26,YE,1675362490
155,coolum beach,-26.5333,153.1,78.12,87,86,3.62,AU,1675362390
156,kaka,37.3482,59.6143,44.74,77,13,2.89,TM,1675362491
157,poum,-20.2333,164.0167,81.32,71,100,16.91,NC,1675362491
158,kingaroy,-26.5333,151.8333,68.27,96,55,1.79,AU,1675362492
159,umm lajj,25.0213,37.2685,67.21,57,0,14.09,SA,1675362493
160,klaksvik,62.2266,-6.589,41.92,99,100,24.2,FO,1675362493
161,ketchikan,55.3422,-131.6461,40.98,87,100,24.16,US,1675362494
162,port hardy,50.6996,-127.4199,42.98,75,100,25.32,CA,1675362494
163,talkha,31.0539,31.3779,51.78,72,70,3.33,EG,1675362495
164,santander,43.4647,-3.8044,49.46,72,0,10.0,ES,1675362295
165,saint stephen,50.3333,-4.9,49.15,93,40,17.27,GB,1675362496
166,vila velha,-20.3297,-40.2925,87.75,70,20,17.27,BR,1675362496
167,bathsheba,13.2167,-59.5167,84.81,58,40,20.71,BB,1675362497
168,walvis bay,-22.9575,14.5053,66.09,77,0,3.44,NA,1675362222
169,palembang,-2.9167,104.7458,78.89,94,75,3.44,ID,1675362497
170,catuday,16.2923,119.8062,77.13,76,5,10.76,PH,1675362498
171,muzhi,65.3667,64.6667,1.65,99,52,2.95,RU,1675362499
172,fortuna,40.5982,-124.1573,56.32,33,0,20.71,US,1675362499
173,labuhan,-6.8844,112.2051,75.45,91,100,7.58,ID,1675362500
174,povolzhskiy,53.5854,49.7629,20.82,98,100,4.74,RU,1675362500
175,easley,34.8298,-82.6015,47.17,95,100,1.01,US,1675362501
176,kaitangata,-46.2817,169.8464,62.73,82,100,5.37,NZ,1675362502
177,tartagal,-22.5164,-63.8013,99.12,24,7,8.5,AR,1675362502
178,galesong,-5.3166,119.3661,73.42,90,100,5.79,ID,1675362503
179,lagoa,39.05,-27.9833,57.54,80,7,20.6,PT,1675362503
180,nuuk,64.1835,-51.7216,11.01,67,100,17.0,GL,1675362369
181,praia da vitoria,38.7333,-27.0667,60.76,82,20,13.04,PT,1675362504
182,ciudad guayana,8.3533,-62.6528,88.52,56,35,6.46,VE,1675362233
183,saint simons,31.1352,-81.3901,80.06,64,0,16.11,US,1675362504
184,victoria,22.2855,114.1577,64.45,85,82,13.0,HK,1675362505
185,provideniya,64.3833,-173.3,9.39,94,49,12.26,RU,1675362506
186,severo-kurilsk,50.6789,156.125,29.37,96,100,41.34,RU,1675362506
187,palmer,42.1584,-72.3287,37.62,38,40,16.11,US,1675362308
188,moramanga,-18.9333,48.2,65.17,98,84,5.39,MG,1675362507
189,conceicao do araguaia,-8.2578,-49.2647,84.06,67,100,4.74,BR,1675362214
190,seoul,37.5683,126.9778,26.2,50,0,4.61,KR,1675362308
191,kodiak,57.79,-152.4072,24.31,86,0,5.75,US,1675362508
192,coquimbo,-29.9533,-71.3436,69.53,68,20,12.66,CL,1675362244
193,sur,22.5667,59.5289,68.49,66,2,8.43,OM,1675362509
194,petropavlovsk-kamchatskiy,53.0452,158.6483,5.59,61,75,11.18,RU,1675362409
195,caravelas,-17.7125,-39.2481,85.98,47,7,10.69,BR,1675362509
196,tabuk,17.4189,121.4443,71.11,97,62,2.8,PH,1675362510
197,samana,19.2056,-69.3369,80.82,74,75,9.22,DO,1675362511
198,grand gaube,-20.0064,57.6608,81.0,81,10,1.99,MU,1675362511
199,westport,41.1415,-73.3579,39.9,47,0,10.36,US,1675362511
200,shalya,57.2471,58.7298,11.64,99,97,2.75,RU,1675362511
201,nome,64.5011,-165.4064,15.87,100,100,5.75,US,1675362512
202,pilar,-9.5972,-35.9567,85.93,55,81,12.62,BR,1675362513
203,iranshahr,27.2025,60.6848,64.74,48,0,0.0,IR,1675362514
204,dingle,10.9995,122.6711,73.54,95,60,7.23,PH,1675362515
205,havre,49.5833,0.3333,49.19,87,100,17.27,FR,1675362515
206,hutchinson,38.0608,-97.9298,44.73,46,0,5.75,US,1675362482
207,alice springs,-23.7,133.8833,58.55,88,0,6.91,AU,1675362516
208,nishihara,26.1842,127.7558,61.88,72,100,5.75,JP,1675362517
209,qasigiannguit,68.8193,-51.1922,7.05,92,99,4.61,GL,1675362517
210,aklavik,68.2191,-135.0107,-32.8,68,20,8.05,CA,1675362518
211,maniitsoq,65.4167,-52.9,11.32,84,100,19.75,GL,1675362518
212,faanui,-16.4833,-151.75,81.39,75,4,19.01,PF,1675362519
213,puerto escondido,15.85,-97.0667,83.23,74,20,9.22,MX,1675362519
214,ostrovnoy,68.0531,39.5131,16.45,92,97,7.61,RU,1675362520
215,trelew,-43.249,-65.3051,88.61,21,93,5.68,AR,1675362285
216,bambous virieux,-20.3428,57.7575,80.85,83,40,3.44,MU,1675362521
217,bolobo,-2.1667,16.2333,78.13,69,91,3.6,CD,1675362521
218,atambua,-9.1061,124.8925,74.1,91,100,2.84,ID,1675362522
219,emba,48.8264,58.1442,12.61,82,86,8.28,KZ,1675362523
220,port augusta,-32.5,137.7667,61.39,45,16,17.63,AU,1675362523
221,guozhen,34.3659,107.359,33.98,55,56,0.07,CN,1675362523
222,puerto del rosario,28.5004,-13.8627,64.15,59,0,11.5,ES,1675362524
223,caiaponia,-16.9567,-51.8103,82.89,60,79,9.35,BR,1675362524
224,zhigansk,66.7697,123.3711,-28.98,97,100,8.9,RU,1675362525
225,sabzevar,36.2126,57.6819,45.73,54,13,2.55,IR,1675362526
226,te anau,-45.4167,167.7167,61.63,97,82,2.44,NZ,1675362526
227,hualmay,-11.0964,-77.6139,77.32,69,77,10.18,PE,1675362527
228,gagesti,46.3333,27.9667,28.87,97,91,2.82,RO,1675362528
229,lodja,-3.4833,23.4333,70.25,97,58,2.46,CD,1675362529
230,fortuna foothills,32.6578,-114.4119,63.21,26,0,14.97,US,1675362529
231,gutersloh,51.9,8.3833,45.9,98,100,6.71,DE,1675362530
232,gat,31.61,34.7642,54.28,66,77,8.1,IL,1675362531
233,salekhard,66.53,66.6019,3.7,96,37,5.73,RU,1675362274
